pitch_id,title,characteristics,epicFit,ideaForSolution,internCandidate,maintenance,problem,smartToolsFit,success,whyNow
7987855,Improve Context Menu Usability,Show less options but also reduce the need of digging into deeper menus to find the option.,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","As a physician, I would recommend implementing a system that intelligently tracks and analyzes user habits to optimize their experience. By monitoring usage patterns, the system can automatically tailor the available options to align with the individual's preferences and needs. This personalized approach not only enhances user satisfaction but also promotes more efficient and effective utilization of resources.",true,,"As a physician, I want a streamlined context menu with only the most relevant options, so that I can quickly and easily find and use the features I need most often without being overwhelmed by unnecessary choices.",,Measure by clicking and time the user goes to submenu.,"Saving time, reduce cluster, meet the simplification goal."
7983256,SmartTextBox - RTL Update and TS Migration,Having all of the RTL-related logic included in TypeScript instead of JavaScript should be sufficient to solve this completely.,This aligns with Epic's priorities to innovate with system intelligence to improve user/developer efficiency. This aligns with SmartTools' team priorities to help maintain our high quality product by enforcing type safety like we do elsewhere in our codebase.,"As a developer, I want to convert the existing TextLine logic into one or more TypeScript files before implementing numerous functional changes, so that I can ensure type safety and avoid unnecessary complications that arise from the lack of type safety in other parts of the codebase.",,Theoretically this should help with lowering long-term maintenance costs as we will get more for free with the TypeScript platform.,"As a developer, I want the TextLine.js component of the SmartTextBox codebase to be converted from raw JavaScript to TypeScript, so that it aligns with the rest of the codebase. This will ensure type safety, improve code readability, and facilitate easier maintenance and implementation of RTL-related updates, ultimately enhancing the functionality and usability of the templates for end users.",It will help improve efficiency and code stability by providing more structure around one of our most-sensitive areas.,Having all of the RTL-related logic included in TypeScript instead of JavaScript should be sufficient to solve this completely.,"We are actively pursuing new RTL changes in the near future (touched on in QAN 7938948), and this type of restructuring is better to be done before any large functional changes."
7983072,SmartTextBox - Inline Header/Footer Support,A good solution would allow users to always view the most up-to-date rendering of the header/footer content while still allowing them to hot-swap with a different record and share that header/footer information across templates without duplicate records.,This aligns with Epic's priorities to innovate with system intelligence to reduce clinician burnout and improve user efficiency. This aligns with SmartTools' team priorities to solve existing pain points.,"One potential solution would be to leverage this existing implementation and simply echo the content back to the underlying SmartText records which stores the ""body"" of the header/footer. Another option would be to leverage SmartSections, as that already has a concept for a single document which is maintained in multiple locations.",,"In a way this would require additional maintenance/testing, since this will be additional logic, but ultimately it will be similar to what we would already have. We are simply going to make the content render similarly regardless of your decisions around storage/interoperability.","Complex documents, such as letters, may desire to leverage header and/or footer segments to meet their needs. Sometimes this is due to external requirements (3rd party content, governmental forms, etc.) while other times it is just to make things look better for their users/patients. Managing these headers and footers is currently a bit cumbersome, as the SubSystem component did not provide a good mechanism for what was needed. Sometimes the header/footer content is specific to that unique template record while other times it may be shared across records. In either case, current templates support only the disjointed header/footer records.","This fits our mission on several levels. First, it helps create a consistency between our editor and MS Word (as well as other similar tools). It will help improve efficiency by allowing edits to happen directly within the SmartTextBox instead of requiring sending back and forth between the STB and a 3rd party application (for the embedded header/footer cases). By adding this functionality, we make it easier for users to build and expand on existing SmartTools, simplifying the steps involved and making it easier to do the right thing. Lastly, this helps make users' SmartTools more of a joy to use because they can create more user-friendly, modern content.",Success could be measured by ensuring that we can properly render header/footer content using both the historical implementation (separate ETX records) as well as the new implementation being worked up for Tapestry.,The recent push to allow Tapestry to embed header/footer information within the templates themselves (PRJ 338470) illustrates that there is a need which we are not fully meeting. Part of the hesitation around implementing this outside of Tapestry is that downstream workflows may not be able to function without expecting the header/footer content to be defined externally.
7983035,Display SmartLists with Few Options as Option List in SmartTextBox,Good UX.,,Users will be able to see and pick SmartList options with a single click.,,,"SmartList require users to click into the list, and then make a selection. It would be much more efficient if for short lists, particularly Yes/No, or similar, we had the options inline, similar to an option list.",,,Simplifies the end user workflow for common workflows.
7975409,SmartTextBox - Improved Shape Support,"Ideally, we would be able to construct any document which a user can do in MS Word, to avoid the dependence on that 3rd party product. A more likely situation is that we would be able to properly handle any document which our users receive from their vendors, or at least be able to take it in and bend it to our will in terms of layout.",This aligns with Epic's priorities to innovate with system intelligence to reduce clinician burnout and improve user efficiency. This aligns with SmartTools' team priorities to solve existing pain points.,"A user may need to take a document from a third party (such as an insurance provider) and implement it as a SmartText record to be able to integrate it into other Epic workflows such as letters or other communication methods. Once it is inside of the SmartTextBox, we can allow the user to click-and-drag to move the shape around on-screen, support more advanced wrapping styles, provide mechanisms for editing inner-content, and introduce the ability to create new shapes from scratch.",,"This will likely require a lot of additional testing/maintenance, as the majority of the features needed here are net-new concepts for the SmartTextBox control - that is why they haven't been implemented yet.","Shapes (notably positioned shapes) are sometimes a crucial piece of the puzzle for users to solve a problem at hand. Sometimes it is to meet governmental requirements while other times it is simply finding the best way to fit the necessary content into the limited space available to them. While we support displaying and maintaining some types of shapes which already exist, we have limited options available for actively creating them from scratch, or even simply moving them around within the document. This means that users need to copy and paste from external sources and hope that things copy over correctly, as they are largely unable to modify them after-the-fact.","This fits our mission on several levels. First, it helps create a consistency between our editor and MS Word (as well as other similar tools). It will help improve efficiency by allowing edits to happen directly within the SmartTextBox instead of requiring sending back and forth between the STB and a 3rd party application. By adding this functionality, we make it easier for users to build and expand on existing SmartTools, simplifying the steps involved and making it easier to do the right thing. Lastly, this helps make users' SmartTools more of a joy to use because they can create more user-friendly, modern content.",Success can be measured in levels; we may need to iterate on this across multiple versions to reach the ideal end result. Being able to support documents which customers are encountering will be a great start.,"With the migration of the SmartText editor to web, we are regularly running into situations where users attempt to perform workflows which were previously possible (albeit a bit buggy in some situations) with the SubSystems-backed control."
7974873,SmartTextBox - Manual Jagged Table Cell Creation,"We should be able to re-create any jagged table we find in our test documents from scratch within a web STB. If we can choose a random existing document and recreate it reliably (and without an unnecessary amount of effort compared to other editors), we will be in a good spot.",This aligns with Epic's priorities to innovate with system intelligence to reduce clinician burnout and improve user efficiency. This aligns with SmartTools' team priorities to solve existing pain points.,,,"This will add some new options for testing moving forward. Realistically, these types of workflows should probably be tested now - we will just be changing the expected behaviors to be more helpful ones.",,"This fits our mission on several levels. First, it helps create a consistency between our editor and MS Word (as well as other similar tools). It will help improve efficiency by avoiding the need for users to migrate their content between Epic and a 3rd party application to make (seemingly) minor edits. By improving this functionality, we make it easy for users to expand on existing SmartTools, as many templates (ETX, HH1) involve tables and many of those tables are jagged in some way. Lastly, this helps make users' SmartTools easier to build and hopefully more of a joy to use because of that.","We should be able to re-create any jagged table we find in our test documents from scratch within a web STB. If we can choose a random existing document and recreate it reliably (and without an unnecessary amount of effort compared to other editors), we will be in a good spot.","We have received many concerns over users struggling to recreate 3rd party documents for things such as insurance or governmental forms, where matching styling is very important. Similarly, label-based workflows have encountered struggles when attempting to best-utilize the limited space available on their size of labels."
7968764,Make the Text Assistant Context Aware,,System intelligence improvements.,"Build a generic infrastructure that allows app team devs to pass relevant context for their workflows to the AI Text Assistant. For IB, this could look like devs passing IB Insights and the last patient message. For OP Notes, this could look like passing the patient chart summary. For IP and ED notes, this could look like passing IP and ED insights. Clinicians using the text assistant would then likely get far better and more tailored responses.",,,"When a clinician uses the AI text assistant, it will give responses that clearly do not pay attention to the surrounding context. This means responses are less useful than they could be and it makes the tool less useful and usable. An example is in In Basket, where the model doesn't understand most information about the patient or what the last patient message was, making it difficult for it to suggest useful responses to the patient.",,Consider feature tracking logging once for each context aware text action that is available and another for each time it gets used. Consider logging / reporting for the individual text action for more granular data.,"This gives us a chance to stand on our hill of having a deeply integrated system. No other AI editing tool can integrate with the rest of the patient's chart in the way we can. This is a clear differentiator and potentially makes using the text assistant consistently more useful than going to ChatGPT, not just more convenient and safer."
7968293,Use MFT Data to Autofit/Simplify Rich Text STB Toolbar,"Our current default options actually look quite good based on usage data. This makes sense if you assume most people don't customize their toolbar to add buttons to it that are tucked away. Some initial ideas: Create SmartPhrases is one that might not be used as frequently as the others, but it could be kept in the default toolbar because it doesn't have a hotkey. It doesn't seem necessary to add any well-used formatting options since we have the floating formatting toolbar. This would be a good opportunity to evaluate if we can get rid of Next/Last to push users to use other ways of moving between SmartLists.",,"Now that we have feature tracking data of STB buttons (SmartTextbox - Power BI Report Server), we should consider adjusting the default rich-text STB toolbar for users we don't have usage data for, and to leverage the auto-fit dev to auto-fit the toolbar when we do have data available for a user. We have been able to collect usage data for Fred, which shows that there are four buttons he clicks regularly but that he clicks other buttons very infrequently. Depending on how we want to approach the design, we could consider removing all other buttons from his toolbars so that he only has those four buttons in them (while giving him the option to decline the autofit suggestion if he would prefer).",,,"Fred views Hyperspace as being complex and cluttered, since there are features onscreen that he doesn't need to use. One way to simplify the system for Fred would be to tuck away low-use actions. While Fred clicks some of the buttons in the rich text STB toolbar during his workday, he uses hotkeys for some others and does not regularly click them all. He sees the STB toolbar less frequently around Hyperspace now that they have been tucked away in plain text SmartTextBoxes, but buttons in the rich-text STB toolbar that he doesn't use still add clutter.",It will be consistent with implementing auto-fit for the plain text STB and our mission to simplify SmartTextBoxes in general.,"Reduced clutter scores in the report, feedback from users adopting autofit.",We're already planning to incorporate auto-fit into our plain text STB project by auto-pinning a users' most frequently used buttons. This would be a good opportunity to leverage the functionality further for the rich text STB.
7967434,Show Where SmartTexts Are Configured Beyond SmartTool Records,Automatically works for any new item that networks to ETX. Works with the INI/record ID pairs used for E3P values.,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","A generic report that can show any place a SmartText is used (within certain limitations -- code/static INI, item must be networked to ETX, etc) will make my life easier because I can find places a SmartText is plugged in within needing to maintain a tracker spreadsheet.",,"None, but can make maintenance quicker and easier overall.","As an analyst, I find SmartText maintenance difficult because I have a hard time finding where a given SmartText is all used when looking outside of other SmartTool records.",,Probably direct feedback.,Ease of maintenance is a focus area to allow analysts to do more.
7964399,Mac / Accessibility APIs Can't Detect Text in SmartTextBox,Ideally vendor agnostic.,,"One relatively quick fix for this issue of ""opaqueness"" of the smart note editor would be to have the note editor surface a representation of its contents to the AX API, e.g. by setting the value of its aria-description attribute to a JSON serialization of its content and current selection.",,Low once developed.,"As a user, I can't use Nabla or Abridge to dictate into SmartTextBoxes within Hyperspace for MacOS. This means Hyperspace for MacOS isn't as usable as Hyperdrive for Windows is because I, and my colleagues, greatly prefer to use speech to text over typing.",,"Physicians at Emory, Cedars, and others start using Hyperspace for MacOS instead of Hyperdrive for Windows.",This is a key reason that physicians at Emory switched back to using Hyperdrive for Windows instead of Hyperspace for MacOS.
7963374,Support Render Rich Text Content in Plain Text STB,Flexible and safe. Don't open a loop hole of allow any random rich text to be inserted into plain text STB.,"Support app team commitments, including pair programming, PQA, charters, QA passes, design review, or dev. Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community.","Ideally, we would have a way to load, parse and render rich text content in plain text STB so that AI citation workflow won't really rely on rich text STB and application can use the general AI citation RTF API for their use cases.",,Full ST owned infrastructure.,"Some teams would like to use AI SmartLink with AI citations but in plain text STB. We already support rendering AI SmartLink return as AI SmartSection in plain text STB. However, citation itself is a rich text concept in SmartText Box and based on RTF markup. Currently plain text STB won't really process raw RTF and render as rich text content. It is something needed to allow AI SmartLink with citation to use in plain text STB. It is a growing needs and start with Cupid PRJ PRJ 322135: CV / Cath / LLM / Citations Support for Narrative Generation.",Infrastructure -> Generalize to benefit more -> Scalability -> Make SmartTools infrastructure salable to future use cases.,Success of App team's project.,"A pre-requisite of app's AI project (PRJ CV / LLM / Citations Support for Narrative Generation [338354], relating to in flight PRJ CV / LLM / Consolidate Workflows for Draft Invasive Procedure Narrative LLM Feature + Framework Update [322135])."
7963351,Enhance SmartLink User Parameter for Segmented Parameter Validation,,,"On a high level, we would like to enhance the SmartLink that can build all types of EpicCommand link with good validation and simple UI so it's easier for average user to build a link without having to build out the delimited string manually. For the generic SmartLink we will have two parameters: EpicCommand type - custom search type parameter that returns the available EpicCommand(This is done in DLG 2049486), and Parameters - segmented parameter with two segments: parameterType and parameterValue with dynamic validation.",,,"DLG 2049486 is proposing a new SmartLink to allow building EpicCommand link using SmartLink user entered parameter. Because of technical limitations of the SmartLink user parameter popup, user still need to manually build the delimited string for the EpicCommand link parameter.",,,"Saves build time for EpicCommand link. Work is being done in this area right now, but it is fairly bare bones without this proposed development."
7945918,Improve Automated Testing for Model Responses for the Text Assistant,Devs and QMs can easily test new prompts and spot issues with prompt changes. Devs and QMs have limited manual work to do for each quarterly upgrade. We build a good example for other AI projects to follow. We have good systems built out for testing internationalized prompts.,"First, do no harm - have better systems in place to catch glaring issues that may arrise. Innovate with system intelligence. Continue making progress on the text assistant.","Build out the same type of testing for our two custom text action prompts. Expand the testing for defined text actions and this new testing for custom text actions to work for all other primary locales. Clearly document how to generate these outputs, so when devs are making prompt changes in the future, they can easily run this automated testing to see the impact of the changes they've made. Work with translators and other AI projects to build an example of how this can scale and work well across other AI features.",,,"Each time Microsoft upgrades their AI models or we want to switch to a new model, QMs and devs on Notes and SmartTools spend time manually reviewing and testing our prompts to see if they perform well or need any changes. This problem will only increase in magnitude as we aim to support all primary languages.",Software must work - our prompts are designed to work as well as possible and we catch issues before they get to our customers. Generalize to benefit more - we can set precedent here for other teams across Epic to follow in building out good automated testing.,,"SmartTools is taking over more prompt ownership, meaning it's important for us to support our QM with better automated testing."
7936231,Improve As-Needed SmartLink Search,Users are able to reliably find relevant SmartLinks on the first try. Does not require leaving the note-writing workflow. Result is returned fast enough that it's not annoying to use.,Reduce clinicial burnout and improve user efficiency; solve existing pain points.,"Users are able to insert a new Epic-released SmartLink with one user-entered parameter, the query to find relevant SmartLinks. The system finds the relevant SmartLinks, then returns some number of results based on confidence as a SmartList that will pull in the found SmartLinks.",,,"Users frequently have difficulty finding a SmartLink that pulls in the data that they need. This can be relatively simple data, a SmartLink that they know exists because it's in a template, or something that they aren't sure exists but need for the first time. On immersion, I've been asked about a range of these, from ones that they probably should have learned during training (ME) to ones that are much more niche (ADMPROV, the pile of LABS SmartLinks, the various HISTORY SmartLinks). We have the Find SmartLinks report, but not many people know about it, and it's disruptive to people's workflows.",Make it easy for users to do the right thing by reducing the time and mental load to find and share SmartTools.,,"This has been an issue for a long time, but AI classification makes the system intelligence required much more feasible than it would have been previously."
7882764,Improve Reporting and Auditing on Custom Text Actions,"Analysts and AI project managers can get details on who is using custom text actions, rates of accepted/adjusted/reverted, and where they are using them without reaching out to TS. Analysts and AI project managers can get details on how often safeguards are being hit by different users without reaching out to TS. Ideally, analysts and AI project managers can get details on how custom text actions are being used without reaching out to a TS. From talking to Brian Jacobson and Katie, a lawyer at Mercy, auditing this tool, including customers ability to save prompts longer than 30 days, is important.",This aligns with Epic's priorities to innovate with system intelligence to reduce clinician burnout and improve user efficiency. This aligns with SmartTools' team priorities to continue making progress on the AI Text Assistant.,"Provide better analytics and auditing tools for custom text actions to allow organizations to monitor usage, safeguard triggers, and maintain records for compliance.",,,"Analysts and AI project managers will not have good insight into how custom text actions are being used once they go live. To get more details, they will have to reach out to TS to pull data from the global tracking all prompts that are written, then manually go through this data. This is tedious, slow, and will not scale well. Currently, organizations default to saving off each prompt that is sent for 30 days.",We want to make it easy for our users to do the right thing. Improving reporting and auditing of custom text actions makes it easier for our customers to roll out this powerful tool in a more ethical and safe way.,,"Custom text actions are now live in prod at a few orgs. Not having good reporting and auditing could be a barrier to rolling this feature out more broadly. If there are litigations, organizations or clinicians may be in legal trouble if they are not able to show that they used this tool responsibly."
7879768,Create Feedback Buttons in AI SmartSections,,,"Indicate to folks that are monitoring these AI projects stats on thumbs up/thumbs down, such as in our text assistant dashboard. For shared custom text actions, surface stats on these to the user who wrote the prompt. This could then let them get a sense for how well their custom text action is performing and make adjustments if needed. For shared custom text actions, surface stats on these to the user who is being shared to. This could then let them get a sense for how well this custom text action performs and make a more informed decision on whether or not to use it.",,,"Currently, users don't have a way to give feedback on AI generated text. This is inconsistent with other AI features and is a highly requested features from customers. This will improve transparency, safety, and monitoring of these AI tools. This would be useful for defined text actions, shared custom text actions, and app team created AI workflows that use AI SmartSections. For custom text actions, it would also be useful if users have a way of giving feedback when they hit our safeguards and think they should not have.",,,"From talking to customers at AI office hours, this was their highest priority enhancement for us to work on next. Here's the enhancements we talked about in order: 1. Feedback buttons, 2. Drill down in the dashboard, 3. Better auditing and reporting for custom text actions, 4. Share custom text actions."
7774673,Text Actions / Support Summary Levels in the Dashboard,,,Allow for drilling down in the text assistant dashboard.,,,"Currently, analysts, CMIOs, and other leaders of AI projects at customer sites cannot drill down to see service areas, departments, or individual user stats with the text assistant. This is how other dashboards, like the IB Art dashboard, work and is now a base expectation from the reporting core group here at Epic.",,,"At office hours, this was the second highest request from customers for us to work on next. Here's the list of enhancements and order we discussed: 1. Feedback buttons, 2. Drill down in the dashboard, 3. Better auditing and reporting for custom text actions, 4. Share custom text actions."
7691740,Use AI to Evaluate Reading Level in Letter Review,,Aligns with efforts to improve system intelligence to improve efficiency and patient outcomes.,"A simple wave 1: As users type into a textbox, they have an option to view stats on what the reading level is of what they are writing. A potential wave 2: If a user clicks on these stats, they could also click to have AI lower this reading level and rewrite the content.",,,"Many payers have recently made a commitment to provide simple explanations and easy-to-access assistance for any prior authorizations that were denied. Users that are attempting to write these explanations may struggle to know if what they are writing is simple and easy enough to understand for a patient. Users at Sutter were copying & pasting their letters into Word, using Word's Editor functionality to determine the text's reading level, then copying that info & pasting it into a note to document the reading level. This is a clunky copy/paste workflow that makes it clear Epic is missing functionality these clinicians need.",Aligns with our values to make it easy for users to do the right thing.,,Payers just announced this commitment last week (week of 6/23/2025). This is also important for improving a painful friction point in US healthcare.
